BAL,LAA,LAA,BAL,LAA,BOS,LAA,CHW,LAA,CLE,LAA,DET,LAA,HOU,LAA,KCR,LAA,MIN,LAA,NYY,LAA,OAK,LAA,SEA,LAA,TBR,LAA,TEX,LAA,TOR,ATL,ARI,ARI,ATL,LAA,CHC,LAA,CIN,ARI,COL,ARI,MIA,LAA,LAD,ARI,MIL,ARI,NYM,ARI,PHI,ARI,PIT,ARI,SDP,ARI,SFG,LAA,STL,ARI,WSN
BAL,LAA,LAA,BAL,LAA,BOS,LAA,CHW,LAA,CLE,LAA,DET,LAA,HOU,LAA,KCR,LAA,MIN,LAA,NYY,LAA,OAK,LAA,SEA,LAA,TBR,LAA,TEX,LAA,TOR,ATL,ARI,ARI,ATL,LAA,CHC,LAA,CIN,ARI,COL,ARI,MIA,LAA,LAD,ARI,MIL,ARI,NYM,ARI,PHI,ARI,PIT,ARI,SDP,ARI,SFG,LAA,STL,ARI,WSN
BAL,LAA,LAA,BAL,LAA,BOS,LAA,CHW,LAA,CLE,LAA,DET,LAA,HOU,LAA,KCR,LAA,MIN,LAA,NYY,LAA,OAK,LAA,SEA,LAA,TBR,LAA,TEX,LAA,TOR,ATL,ARI,ARI,ATL,LAA,CHC,ARI,CIN,ARI,COL,ARI,MIA,ARI,LAD,ARI,MIL,ARI,NYM,ARI,PHI,ARI,PIT,ARI,SDP,ARI,SFG,LAA,STL,ARI,WSN
BAL,LAA,BOS,BAL,LAA,BOS,BAL,CHW,ATL,CLE,BAL,DET,LAA,HOU,ATL,KCR,ATL,MIN,ARI,NYY,LAA,OAK,LAA,SEA,LAA,TBR,LAA,TEX,LAA,TOR,ATL,ARI,CHC,ATL,ARI,CHC,ARI,CIN,ARI,COL,ARI,MIA,ARI,LAD,ATL,MIL,ARI,NYM,ATL,PHI,ARI,PIT,ARI,SDP,ARI,SFG,ARI,STL,ARI,WSN
BOS,LAA,BOS,BAL,BAL,BOS,BAL,CHW,ATL,CLE,BAL,DET,LAA,HOU,ATL,KCR,ATL,MIN,ARI,NYY,LAA,OAK,LAA,SEA,ARI,TBR,LAA,TEX,ARI,TOR,BAL,ARI,CHC,ATL,ARI,CHC,ARI,CIN,ARI,COL,ATL,MIA,ARI,LAD,ATL,MIL,ATL,NYM,ATL,PHI,ATL,PIT,ARI,SDP,ARI,SFG,ARI,STL,ATL,WSN
BOS,LAA,BOS,BAL,BAL,BOS,BAL,CHW,ATL,CLE,BAL,DET,LAA,HOU,BAL,KCR,ATL,MIN,BAL,NYY,LAA,OAK,LAA,SEA,ARI,TBR,LAA,TEX,ARI,TOR,BAL,ARI,CHC,ATL,ARI,CHC,ATL,CIN,ARI,COL,ATL,MIA,ARI,LAD,ATL,MIL,ATL,NYM,ATL,PHI,ATL,PIT,ARI,SDP,ARI,SFG,ARI,STL,ATL,WSN
BOS,LAA,BOS,BAL,BAL,BOS,BOS,CHW,BAL,CLE,BAL,DET,LAA,HOU,BAL,KCR,BAL,MIN,BAL,NYY,LAA,OAK,LAA,SEA,ARI,TBR,LAA,TEX,ARI,TOR,BAL,ARI,CHW,ATL,ATL,CHC,ATL,CIN,ARI,COL,ATL,MIA,ARI,LAD,CHC,MIL,ATL,NYM,ATL,PHI,ATL,PIT,ARI,SDP,ARI,SFG,ATL,STL,ATL,WSN
CHW,LAA,BOS,BAL,BAL,BOS,BOS,CHW,BAL,CLE,BOS,DET,LAA,HOU,BAL,KCR,BAL,MIN,BAL,NYY,LAA,OAK,LAA,SEA,BAL,TBR,LAA,TEX,ATL,TOR,BOS,ARI,CHW,ATL,ATL,CHC,ATL,CIN,ARI,COL,ATL,MIA,ARI,LAD,CHC,MIL,ATL,NYM,ATL,PHI,CHC,PIT,ARI,SDP,ARI,SFG,ATL,STL,ATL,WSN
CHW,LAA,BOS,BAL,BAL,BOS,BOS,CHW,BAL,CLE,BOS,DET,LAA,HOU,BOS,KCR,BAL,MIN,BAL,NYY,LAA,OAK,LAA,SEA,BAL,TBR,LAA,TEX,ATL,TOR,BOS,ARI,CHW,ATL,ATL,CHC,CHC,CIN,ARI,COL,ATL,MIA,ARI,LAD,CHC,MIL,ATL,NYM,ATL,PHI,CHC,PIT,ARI,SDP,ARI,SFG,ATL,STL,ATL,WSN
CHW,LAA,BOS,BAL,BAL,BOS,BOS,CHW,BAL,CLE,BOS,DET,BAL,HOU,BOS,KCR,BOS,MIN,BAL,NYY,LAA,OAK,BAL,SEA,BAL,TBR,LAA,TEX,BAL,TOR,BOS,ARI,CIN,ATL,ATL,CHC,CHC,CIN,ARI,COL,ATL,MIA,ARI,LAD,CHC,MIL,ATL,NYM,ATL,PHI,CHC,PIT,ATL,SDP,ATL,SFG,CHC,STL,ATL,WSN
